0,20471,2
0,20471,2
0,20470,2
0,20470,2
0,20470,2
0,20470,2
0,20470,2
0,20470,2
0,20472,2
0,20471,2
0,20470,2
0,20470,2
0,20470,2
0,20470,4
0,20470,2
0,20470,2
0,20470,2
0,20470,2
0,20470,2
0,20470,2
0,20470,8
0,20470,2
0,20471,4
0,20469,2
0,20469,2
0,20469,2
0,20469,2
0,20469,2
0,20469,4
0,20471,4
1,20469,2
1,20469,2
1,20469,2
1,20469,2
1,20469,2
1,20469,2
1,20470,4
1,20468,2
1,20468,2
1,20470,2
1,20468,2
1,20470,2
1,20470,2
4,20468,2
4,20468,2
4,20468,2
4,20468,2
4,20468,2
4,20468,2
6,20469,2
7,20469,2
9,20469,2
9,20469,6
9,20471,4
12,20470,2
14,20470,2
16,20470,4
18,20470,2
19,20469,2
20,20469,2
23,20469,4
23,20468,2
23,20468,6
23,20468,2
23,20468,2
23,20468,12
23,20468,2
24,20469,4
27,20468,2
27,20468,2
27,20468,2
30,20469,4
31,20468,2
36,20468,4
45,20469,10
45,20469,4
47,20469,2
47,20469,4
47,20469,6
47,20469,8
47,20469,6
47,20469,8
47,20469,6
47,20468,2
47,20468,2
47,20468,4
50,20469,2
57,20468,2
57,20469,4
100,20469,2
101,20469,2
101,20469,4
102,20469,2
102,20470,2
104,20468,2
104,20468,2
104,20469,2
106,20468,2
106,20468,2
106,20468,2
106,20468,2
106,20467,2
108,20467,2
108,20467,2
108,20467,2
108,20467,4
108,20467,2
109,20466,2
109,20466,2
109,20466,6
109,20466,2
110,20466,2
110,20466,2
110,20466,2
111,20466,2
112,20465,2
112,20465,2
113,20466,2
114,20465,2
114,20465,2
114,20465,2
114,20465,2
114,20465,4
114,20465,2
114,20465,2
114,20464,2
114,20464,2
114,20464,2
114,20464,2
114,20464,2
114,20465,2
115,20463,10
115,20465,2
116,20465,2
116,20464,2
117,20463,2
118,20464,4
118,20464,2
118,20464,2
119,20464,2
119,20464,6
119,20464,2
119,20464,2
119,20464,2
120,20463,2
120,20464,2
120,20465,2
120,20464,2
121,20465,2
124,20465,2
124,20465,8
126,20466,4
126,20466,2
126,20466,2
127,20466,2
129,20466,2
130,20466,2
130,20466,8
130,20466,2
130,20466,2
130,20466,2
132,20466,2
134,20466,2
135,20466,2
136,20466,2
136,20467,8
136,20466,2
136,20466,2
136,20466,2
136,20466,4
139,20468,2
141,20467,2
141,20467,2
146,20468,2
150,20468,2
150,20468,10
150,20469,4
151,20468,2
157,20470,8
157,20470,22
158,20470,6
158,20471,14
200,20471,2
200,20470,2
200,20470,2
206,20470,2
206,20470,2
206,20470,2
206,20469,2
206,20469,2
206,20469,2
